"","id","Contracts","Bridging.Capacity","Influence","infl_norm"
"547","CZ65410777",1,0,0.001,0.05
"548","CZ28711777",1,0,0,0
"549","CZ00264334",2,0,0,0
"550","CZ25045997",3,0,0.001,0.05
"551","CZ61388971",2,0,0.001,0.05
"552","CZ49444875",1,0,0,0
"553","CZ00254061",3,0,0,0
"554","CZ00253014",9,0,0.001,0.05
"555","CZ42407559",2,0,0,0
"556","CZ00304476",1,0,0,0
"557","CZ25385747",6,0,0.001,0.05
"558","CZ00179906",2,0,0.001,0.05
"559","CZ25686011",2,0,0,0
"560","CZ00296317",2,0,0,0
"561","CZ26875080",2,0,0,0
"562","CZ61388963",1,0,0,0
"563","CZ60724463",1,0,0,0
"564","CZ64610225",8,0,0.001,0.05
"565","CZ00290823",2,0,0.001,0.05
"566","CZ72045230",3,0,0,0
"567","CZ70892822",12,0,0.002,0.1
"568","CZ45536040",1,0,0,0
"569","CZ25581708",3,0,0.001,0.05
"570","CZ46747885",7,0,0.001,0.05
"571","CZ24128376",4,0,0.001,0.05
"572","CZ26936453",1,0,0,0
"573","CZ63321238",2,0,0,0
"574","CZ00282120",2,0,0,0
"575","CZ46980318",4,0,0.001,0.05
"576","CZ48168190",1,0,0.001,0.05
"577","CZ15059391",1,0,0.001,0.05
"578","CZ00253316",3,0,0.001,0.05
"579","CZ64834042",3,0,0,0
"580","CZ00238295",4,0,0.001,0.05
"581","CZ25636332",1,0,0,0
"582","CZ00297861",1,0,0,0
"583","CZ00241121",2,0,0,0
"584","CZ00282103",1,0,0,0
"585","CZ00301825",7,0,0.001,0.05
"586","CZ60775530",5,0,0.001,0.05
"587","CZ00479705",2,0,0,0
"588","CZ28244532",2,0,0,0
"589","CZ00023736",1,0,0,0
"590","CZ28428161",1,0,0,0
"591","CZ00300063",2,0,0,0
"592","CZ47671416",9,0,0.001,0.05
"593","CZ70565759",1,0,0.001,0.05
"594","CZ41192168",1,0,0.001,0.05
"595","CZ47115921",1,0,0,0
"596","CZ00298221",1,0,0,0
"597","CZ00159816",2,0,0,0
"598","CZ00263958",2,0,0,0
"599","CZ48036315",3,0,0,0
"600","CZ00295841",3,0,0,0
